id,city_name,state_id,created_by,updated_by,created_at,updated_at,country_id
0,24 PARAGANAS NORTH,35,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238960,1696090682238960,018b05dd-2983-7809-a2d1-95b3f1776eb3
1,24 PARAGANAS SOUTH,35,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238993,1696090682238993,018b05dd-2983-7809-a2d1-95b3f1776eb3
2,ADILABAD,30,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238997,1696090682238997,018b05dd-2983-7809-a2d1-95b3f1776eb3
3,AGAR MALWA,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239001,1696090682239001,018b05dd-2983-7809-a2d1-95b3f1776eb3
4,AGRA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239004,1696090682239004,018b05dd-2983-7809-a2d1-95b3f1776eb3
5,AHMADABAD,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239007,1696090682239007,018b05dd-2983-7809-a2d1-95b3f1776eb3
6,AHMEDNAGAR,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239009,1696090682239009,018b05dd-2983-7809-a2d1-95b3f1776eb3
7,AIZAWL,22,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239012,1696090682239012,018b05dd-2983-7809-a2d1-95b3f1776eb3
8,AJMER,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239015,1696090682239015,018b05dd-2983-7809-a2d1-95b3f1776eb3
9,AKOLA,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239018,1696090682239018,018b05dd-2983-7809-a2d1-95b3f1776eb3
10,ALAPPUZHA,15,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239021,1696090682239021,018b05dd-2983-7809-a2d1-95b3f1776eb3
11,ALIGARH,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239023,1696090682239023,018b05dd-2983-7809-a2d1-95b3f1776eb3
12,ALIPURDUAR,35,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239027,1696090682239027,018b05dd-2983-7809-a2d1-95b3f1776eb3
13,ALIRAJPUR,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239030,1696090682239030,018b05dd-2983-7809-a2d1-95b3f1776eb3
14,ALMORA,34,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239033,1696090682239033,018b05dd-2983-7809-a2d1-95b3f1776eb3
15,ALWAR,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239036,1696090682239036,018b05dd-2983-7809-a2d1-95b3f1776eb3
16,AMBALA,10,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239040,1696090682239040,018b05dd-2983-7809-a2d1-95b3f1776eb3
17,AMBEDKAR NAGAR,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239042,1696090682239042,018b05dd-2983-7809-a2d1-95b3f1776eb3
18,AMETHI,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239045,1696090682239045,018b05dd-2983-7809-a2d1-95b3f1776eb3
19,AMRAVATI,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239048,1696090682239048,018b05dd-2983-7809-a2d1-95b3f1776eb3
20,AMRELI,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239051,1696090682239051,018b05dd-2983-7809-a2d1-95b3f1776eb3
21,AMRITSAR,26,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239053,1696090682239053,018b05dd-2983-7809-a2d1-95b3f1776eb3
22,AMROHA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239056,1696090682239056,018b05dd-2983-7809-a2d1-95b3f1776eb3
23,ANAND,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239059,1696090682239059,018b05dd-2983-7809-a2d1-95b3f1776eb3
24,ANANTAPUR,1,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239060,1696090682239060,018b05dd-2983-7809-a2d1-95b3f1776eb3
25,ANANTNAG,12,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239062,1696090682239062,018b05dd-2983-7809-a2d1-95b3f1776eb3
26,ANJAW,2,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239065,1696090682239065,018b05dd-2983-7809-a2d1-95b3f1776eb3
27,ANUGUL,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239067,1696090682239067,018b05dd-2983-7809-a2d1-95b3f1776eb3
28,ANUPPUR,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239069,1696090682239069,018b05dd-2983-7809-a2d1-95b3f1776eb3
29,ARARIA,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239072,1696090682239072,018b05dd-2983-7809-a2d1-95b3f1776eb3
30,ARIYALUR,29,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239074,1696090682239074,018b05dd-2983-7809-a2d1-95b3f1776eb3
31,ARVALLI,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239077,1696090682239077,018b05dd-2983-7809-a2d1-95b3f1776eb3
32,ARWAL,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239079,1696090682239079,018b05dd-2983-7809-a2d1-95b3f1776eb3
33,ASHOKNAGAR,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239081,1696090682239081,018b05dd-2983-7809-a2d1-95b3f1776eb3
34,AURAIYA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239084,1696090682239084,018b05dd-2983-7809-a2d1-95b3f1776eb3
35,AURANGABAD,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239087,1696090682239087,018b05dd-2983-7809-a2d1-95b3f1776eb3
36,AYODHYA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239090,1696090682239090,018b05dd-2983-7809-a2d1-95b3f1776eb3
37,AZAMGARH,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239093,1696090682239093,018b05dd-2983-7809-a2d1-95b3f1776eb3
38,BAGALKOTE,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239096,1696090682239096,018b05dd-2983-7809-a2d1-95b3f1776eb3
39,BAGESHWAR,34,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239098,1696090682239098,018b05dd-2983-7809-a2d1-95b3f1776eb3
40,BAGHPAT,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239102,1696090682239102,018b05dd-2983-7809-a2d1-95b3f1776eb3
41,BAHRAICH,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239105,1696090682239105,018b05dd-2983-7809-a2d1-95b3f1776eb3
42,BAKSA,3,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239108,1696090682239108,018b05dd-2983-7809-a2d1-95b3f1776eb3
43,BALAGHAT,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239112,1696090682239112,018b05dd-2983-7809-a2d1-95b3f1776eb3
44,BALANGIR,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239115,1696090682239115,018b05dd-2983-7809-a2d1-95b3f1776eb3
45,BALESHWAR,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239118,1696090682239118,018b05dd-2983-7809-a2d1-95b3f1776eb3
46,BALLARI,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239121,1696090682239121,018b05dd-2983-7809-a2d1-95b3f1776eb3
47,BALLIA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239123,1696090682239123,018b05dd-2983-7809-a2d1-95b3f1776eb3
48,BALOD,6,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239126,1696090682239126,018b05dd-2983-7809-a2d1-95b3f1776eb3
