id,pincode,city_id,created_by,updated_by,created_at,updated_at,country_id
0,110001,c7d84b30-86c8-783a-a8c5-2d4c0a540b75,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682241751,1696090682241751,018b05dd-2983-7809-a2d1-95b3f1776eb3
1,110002,c7d83529-2330-7e7f-be83-26040c6aa03b,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682241867,1696090682241867,018b05dd-2983-7809-a2d1-95b3f1776eb3
2,110003,c7d854be-53c8-7375-a10b-59d6d166c997,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682241883,1696090682241883,018b05dd-2983-7809-a2d1-95b3f1776eb3
3,110004,c7d84b30-86c8-783a-a8c5-2d4c0a540b75,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682241958,1696090682241958,018b05dd-2983-7809-a2d1-95b3f1776eb3
4,110005,c7d83529-2330-7e7f-be83-26040c6aa03b,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682241994,1696090682241994,018b05dd-2983-7809-a2d1-95b3f1776eb3
5,110006,c7d83529-2330-7e7f-be83-26040c6aa03b,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242004,1696090682242004,018b05dd-2983-7809-a2d1-95b3f1776eb3
6,110007,c7d84b9c-aa60-79c5-a11d-3bd04e073288,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242015,1696090682242015,018b05dd-2983-7809-a2d1-95b3f1776eb3
7,110008,c7d859b3-eb68-7f65-8ee5-239dfe8f241b,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242069,1696090682242069,018b05dd-2983-7809-a2d1-95b3f1776eb3
8,110009,c7d84b9c-aa60-79c5-a11d-3bd04e073288,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242117,1696090682242117,018b05dd-2983-7809-a2d1-95b3f1776eb3
9,110010,c7d84b30-86c8-783a-a8c5-2d4c0a540b75,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242154,1696090682242154,018b05dd-2983-7809-a2d1-95b3f1776eb3
10,110011,c7d84b30-86c8-783a-a8c5-2d4c0a540b75,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242188,1696090682242188,018b05dd-2983-7809-a2d1-95b3f1776eb3
11,110012,c7d859b3-eb68-7f65-8ee5-239dfe8f241b,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242264,1696090682242264,018b05dd-2983-7809-a2d1-95b3f1776eb3
12,110013,c7d8548f-ba18-74d1-af69-5406666160cb,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242301,1696090682242301,018b05dd-2983-7809-a2d1-95b3f1776eb3
13,110014,c7d8548f-ba18-74d1-af69-5406666160cb,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682242343,1696090682242343,018b05dd-2983-7809-a2d1-95b3f1776eb3
