id,state_name,created_by,updated_by,created_at,updated_at,country_id
0,ANDAMAN AND NICOBAR ISLANDS,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238898,1696090682238898,018b05dd-2983-7809-a2d1-95b3f1776eb3
1,ANDHRA PRADESH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238914,1696090682238914,018b05dd-2983-7809-a2d1-95b3f1776eb3
2,ARUNACHAL PRADESH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238915,1696090682238915,018b05dd-2983-7809-a2d1-95b3f1776eb3
3,ASSAM,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238916,1696090682238916,018b05dd-2983-7809-a2d1-95b3f1776eb3
4,BIHAR,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238917,1696090682238917,018b05dd-2983-7809-a2d1-95b3f1776eb3
5,CHANDIGARH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238918,1696090682238918,018b05dd-2983-7809-a2d1-95b3f1776eb3
6,CHHATTISGARH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238918,1696090682238918,018b05dd-2983-7809-a2d1-95b3f1776eb3
7,DELHI,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238919,1696090682238919,018b05dd-2983-7809-a2d1-95b3f1776eb3
8,GOA,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238920,1696090682238920,018b05dd-2983-7809-a2d1-95b3f1776eb3
9,GUJARAT,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238920,1696090682238920,018b05dd-2983-7809-a2d1-95b3f1776eb3
10,HARYANA,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238921,1696090682238921,018b05dd-2983-7809-a2d1-95b3f1776eb3
11,HIMACHAL PRADESH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238922,1696090682238922,018b05dd-2983-7809-a2d1-95b3f1776eb3
12,JAMMU AND KASHMIR,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238923,1696090682238923,018b05dd-2983-7809-a2d1-95b3f1776eb3
13,JHARKHAND,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238923,1696090682238923,018b05dd-2983-7809-a2d1-95b3f1776eb3
14,KARNATAKA,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238924,1696090682238924,018b05dd-2983-7809-a2d1-95b3f1776eb3
15,KERALA,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238925,1696090682238925,018b05dd-2983-7809-a2d1-95b3f1776eb3
16,LADAKH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238925,1696090682238925,018b05dd-2983-7809-a2d1-95b3f1776eb3
17,LAKSHADWEEP,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238926,1696090682238926,018b05dd-2983-7809-a2d1-95b3f1776eb3
18,MADHYA PRADESH,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238926,1696090682238926,018b05dd-2983-7809-a2d1-95b3f1776eb3
19,MAHARASHTRA,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238927,1696090682238927,018b05dd-2983-7809-a2d1-95b3f1776eb3
20,MANIPUR,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238928,1696090682238928,018b05dd-2983-7809-a2d1-95b3f1776eb3
21,MEGHALAYA,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238928,1696090682238928,018b05dd-2983-7809-a2d1-95b3f1776eb3
22,MIZORAM,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238929,1696090682238929,018b05dd-2983-7809-a2d1-95b3f1776eb3
23,NAGALAND,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682238930,1696090682238930,018b05dd-2983-7809-a2d1-95b3f1776eb3
